City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Keningau,MY,72.05,overcast clouds,5.3378,116.1602,Sabindo Hotel
12,Navrongo,GH,85.03,overcast clouds,10.8956,-1.0921,Azakka Hotel
13,Mareeba,AU,75.92,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
16,Palembang,ID,74.01,broken clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
21,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
22,Rikitea,PF,74.25,clear sky,-23.1203,-134.9692,People ThankYou
25,Bambous Virieux,MU,75.22,light rain,-20.3428,57.7575,Casa Tia Villa
31,Alpena,US,71.92,broken clouds,45.0617,-83.4327,Days Inn by Wyndham Alpena
51,Shakawe,BW,78.44,broken clouds,-18.3667,21.85,Ditlhapi Guest House
53,Kavaratti,IN,82.06,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
56,Saint-Philippe,RE,72.95,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
57,Hilo,US,80.33,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
58,Bethel,US,76.93,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
60,Bengkulu,ID,74.73,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
61,Berbera,SO,85.15,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
65,Cosala,MX,88.66,clear sky,24.4125,-106.6908,Hotel Real del Conde
68,Lexington,US,73.29,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
70,Biltine,TD,88.21,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
71,Sabang,ID,81.09,overcast clouds,5.8933,95.3214,Hotel Citra
74,Namatanai,PG,79.83,light rain,-3.6667,152.4333,Seagulls Inn Namatani
78,Tura,IN,71.1,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
80,Kavieng,PG,80.92,light rain,-2.5744,150.7967,Nusa Island Retreat
85,Catamarca,AR,86.77,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
86,Victoria,HK,79.32,light rain,22.2855,114.1577,Mini Hotel Central
87,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
89,Kendari,ID,75.2,overcast clouds,-3.945,122.4989,Hotel Wixel
97,Natitingou,BJ,75.49,light rain,10.3042,1.3796,Auberge Centrale
99,Sur,OM,79.43,broken clouds,22.5667,59.5289,Sur Plaza Hotel
105,Monrovia,LR,78.57,light rain,6.3005,-10.7969,Sunset Inn
107,Mackay,AU,72.05,few clouds,-21.15,149.2,International Lodge Motel
109,Manokwari,ID,77.97,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
113,Hambantota,LK,78.98,overcast clouds,6.1241,81.1185,Bungalow 63
116,Moron,AR,80.06,few clouds,-34.6534,-58.6198,Hotel Morón
120,Mubi,NG,72.57,light rain,10.2676,13.2644,Hotel
121,Mahebourg,MU,75.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
122,Gigmoto,PH,80.65,overcast clouds,13.7796,124.39,Cj's Travellers Inn
132,Mikumi,TZ,74.23,broken clouds,-7.4041,36.9831,Morio Motel and Campsite
141,Marsh Harbour,BS,80.06,broken clouds,26.5412,-77.0636,Abaco Beach Resort
142,Kudahuvadhoo,MV,82.72,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
149,Kapoeta,SS,84.43,scattered clouds,4.7717,33.5903,Eastgate Hotel
150,Tabou,CI,77.68,light rain,4.423,-7.3528,hotêl doufoulougou
152,Touros,BR,83.3,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
155,Charters Towers,AU,70.97,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
161,Payo,ID,72.54,overcast clouds,-3.7508,103.6372,Mess keban agung
163,Port-Gentil,GA,78.22,light rain,-0.7193,8.7815,Fengshui Residence
164,Dingle,PH,75.87,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
168,Howard Springs,AU,84.11,broken clouds,-12.497,131.047,buffalo beach hostel
169,Dubai,AE,87.73,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
172,San Cristobal,VE,80.78,few clouds,7.7669,-72.225,Posada Villaven C.A.
174,Ponta Do Sol,PT,75.0,overcast clouds,32.6667,-17.1,Hotel do Campo
176,Souillac,MU,75.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
177,Morondava,MG,75.88,clear sky,-20.2833,44.2833,La Case Bambou
180,Lompoc,US,76.1,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
183,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
184,Fougamou,GA,73.69,moderate rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
187,Mongo,TD,79.45,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
188,Casimiro Castillo,MX,85.46,light rain,19.6,-104.4333,Hotel San José
192,Akyab,MM,79.27,heavy intensity rain,20.15,92.9,Hotel Memory
194,Lorengau,PG,81.0,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
195,Moerai,PF,74.75,broken clouds,-22.4333,-151.3333,Le Manotel
197,Bubaque,GW,82.8,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
199,Georgetown,MY,76.95,moderate rain,5.4112,100.3354,Cititel Penang
200,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
201,Buchanan,LR,78.76,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
203,Faanui,PF,79.02,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
204,Hithadhoo,MV,81.05,overcast clouds,-0.6,73.0833,Scoop Guest House
207,Zaraza,VE,89.29,overcast clouds,9.3503,-65.3245,Hotel Zaraza
212,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
213,Bowen,AU,76.73,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
214,Atuona,PF,76.95,light rain,-9.8,-139.0333,Villa Enata
215,Leiva,CO,72.81,light rain,1.9339,-77.3025,HOTEL LEIVA
217,Banda Aceh,ID,78.82,overcast clouds,5.5577,95.3222,Sulthan Hotel International
219,Jiwani,PK,79.05,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
220,Aguascalientes,MX,80.55,few clouds,21.8833,-102.3,Hotel Francia Aguascalientes
225,Samarai,PG,80.8,overcast clouds,-10.6167,150.6667,Nuli Sapi
226,Punta Alta,AR,76.93,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
229,Sumbe,AO,76.01,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
230,Presidencia Roque Saenz Pena,AR,86.81,clear sky,-26.7852,-60.4388,Hotel Aconcagua
232,Awbari,LY,76.24,overcast clouds,26.5921,12.7805,فندق أوباري
234,Manggar,ID,78.76,overcast clouds,-2.8833,108.2667,Guest Hotel
236,Mandera,KE,82.06,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
242,Sao Filipe,CV,82.2,clear sky,14.8961,-24.4956,Hotel Xaguate
243,Apex,US,80.78,smoke,35.7327,-78.8503,Homewood Suites by Hilton Raleigh/Cary
244,Mayo,US,78.75,clear sky,38.8876,-76.5119,Resorts Resource Group International
245,Karratha,AU,71.29,clear sky,-20.7377,116.8463,ibis Styles Karratha
246,Huarmey,PE,70.07,broken clouds,-10.0681,-78.1522,Hotel Miramar
247,Kutum,SD,79.21,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
249,Trairi,BR,82.56,overcast clouds,-3.2778,-39.2689,janelas do mar
252,Broome,US,72.18,clear sky,42.2506,-75.833,Chenango Valley State Park
253,Daru,PG,77.47,overcast clouds,-9.0763,143.2092,Daru Lodge
258,Buraydah,SA,79.25,clear sky,26.326,43.975,فندق راحة السلام
260,Camandag,PH,75.06,overcast clouds,10.3333,123.0667,Garden of Luisa
261,Meulaboh,ID,75.38,overcast clouds,4.1363,96.1285,Kost Pria
264,Hobyo,SO,78.26,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
267,Lukulu,ZM,73.2,overcast clouds,-14.3707,23.242,Ruth Guest House
268,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
270,Cockburn Town,TC,82.44,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
273,Riyadh,SA,80.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
275,Honiara,SB,79.52,broken clouds,-9.4333,159.95,Heritage Park Hotel
276,Belmonte,BR,81.1,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
282,Nieuw Nickerie,SR,83.1,scattered clouds,5.95,-56.9833,Ishwardat Inn
286,Cayenne,GF,86.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
287,Sakakah,SA,71.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
289,Johnstown,US,72.7,clear sky,40.3267,-78.922,"Holiday Inn Johnstown-Downtown, an IHG Hotel"
290,Holland,US,72.3,few clouds,42.7875,-86.1089,Hampton Inn Holland
294,Kothapet,IN,73.11,overcast clouds,19.3333,79.4833,Andhavelly Village
296,Vallenar,CL,78.82,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
297,Mitsamiouli,KM,77.09,overcast clouds,-11.3847,43.2844,Foyer ADM
306,Hamilton,US,74.75,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
309,Quatre Cocos,MU,75.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
314,Shenzhen,CN,79.21,broken clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
315,San Patricio,US,89.69,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
317,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
318,Najran,SA,70.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
319,La Primavera,CO,82.29,moderate rain,5.4906,-70.4092,La Riviera Hotel Colonial
321,Ko Samui,TH,82.29,overcast clouds,9.5357,99.9357,The Passage
327,San Lorenzo,PY,83.34,few clouds,-25.3333,-57.5333,Hotel del Sur
328,Saint-Pierre,RE,73.04,few clouds,-21.3393,55.4781,Lindsey Hôtel
330,Port Blair,IN,80.35,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
333,Paducah,US,77.59,clear sky,37.0834,-88.6001,"Holiday Inn Paducah Riverfront, an IHG Hotel"
336,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
337,Camacha,PT,71.53,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
339,Laguna,US,70.45,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
340,Salinas,US,72.57,overcast clouds,36.6777,-121.6555,Laurel Inn & Conference Center
346,Tecoanapa,MX,85.28,overcast clouds,16.5167,-98.75,Hotel Manglares
349,Salalah,OM,78.89,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
350,Caravelas,BR,72.1,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
354,Maumere,ID,79.65,overcast clouds,-8.6199,122.2111,Sylvia Hotel
355,Nueva Gorgona,PA,87.91,overcast clouds,8.55,-79.8667,Coronado Luxury Club & Suites
356,Gat,IL,70.48,clear sky,31.61,34.7642,OlusHome
357,Ocos,GT,86.5,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
359,Puerto Del Rosario,ES,73.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
363,Stephenville,US,83.93,scattered clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
365,Abaetetuba,BR,86.04,broken clouds,-1.7181,-48.8825,Hotel Joanayna
366,Jasper,US,71.01,overcast clouds,37.2001,-94.3502,Guest House Motel
367,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
368,Nouakchott,MR,83.77,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
370,Kalmunai,LK,79.84,overcast clouds,7.4167,81.8167,VS Villa
372,Qui Nhon,VN,76.8,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
373,Butaritari,KI,81.36,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
383,Elat,IL,73.24,clear sky,29.5581,34.9482,Club Hotel Eilat
384,Labuan,MY,73.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
385,Santa Cruz De La Palma,ES,75.34,volcanic ash,28.6835,-17.7642,H10 Taburiente Playa
388,Sinnamary,GF,82.26,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
389,Palmer,US,75.31,broken clouds,42.1584,-72.3287,Wedgewood Motel
390,Abu Kamal,SY,70.75,clear sky,34.4506,40.9171,محطة التلفاز
391,Nantucket,US,70.14,clear sky,41.2835,-70.0995,Jared Coffin House
395,Kandi,BJ,79.93,broken clouds,11.1342,2.9386,Baric Motel De Kandi
402,Axim,GH,78.33,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
404,Solwezi,ZM,73.44,overcast clouds,-12.1688,26.3894,Country Lodge Solwezi
406,Wanning,CN,77.67,overcast clouds,18.8003,110.3967,Paradise Hotel
407,Marrakesh,MA,77.07,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
408,Acajutla,SV,81.99,broken clouds,13.5928,-89.8275,asi es
410,Popondetta,PG,71.55,overcast clouds,-8.7537,148.2534,Timos Transit House
415,Grand Gaube,MU,75.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
416,Itanagar,IN,70.79,overcast clouds,27.1,93.6167,Hotel Moomsie Itanagar
418,Mahibadhoo,MV,82.0,broken clouds,3.7833,72.9667,Omadhoo Inn
420,Puerto Colombia,CO,86.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
421,Luanda,AO,77.0,few clouds,-8.8368,13.2343,Hotel Fórum
422,Lazaro Cardenas,MX,84.81,overcast clouds,17.9583,-102.2,quinta antigua
423,George Town,MY,76.95,light rain,5.4112,100.3354,Cititel Penang
425,Keffi,NG,73.76,overcast clouds,8.8486,7.8736,Imam Family
428,Seminole,US,86.29,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
429,Nokha,IN,78.87,clear sky,27.6,73.4167,gu khana
430,Acarau,BR,82.58,overcast clouds,-2.8856,-40.12,castelo pizzaria
431,Rumonge,BI,73.99,broken clouds,-3.9736,29.4386,Kwetu Guest House
